GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US410510001002000,410510001002000,"Block 2000, Block Group 2, Census Tract 1, Multnomah County, Oregon",5
1000000US410510001002001,410510001002001,"Block 2001, Block Group 2, Census Tract 1, Multnomah County, Oregon",26
1000000US410510001002002,410510001002002,"Block 2002, Block Group 2, Census Tract 1, Multnomah County, Oregon",5
1000000US410510001002003,410510001002003,"Block 2003, Block Group 2, Census Tract 1, Multnomah County, Oregon",12
1000000US410510001002004,410510001002004,"Block 2004, Block Group 2, Census Tract 1, Multnomah County, Oregon",18
1000000US410510001002005,410510001002005,"Block 2005, Block Group 2, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001002006,410510001002006,"Block 2006, Block Group 2, Census Tract 1, Multnomah County, Oregon",10
1000000US410510001002007,410510001002007,"Block 2007, Block Group 2, Census Tract 1, Multnomah County, Oregon",16
1000000US410510001002008,410510001002008,"Block 2008, Block Group 2, Census Tract 1, Multnomah County, Oregon",16
1000000US410510001002009,410510001002009,"Block 2009, Block Group 2, Census Tract 1, Multnomah County, Oregon",17
1000000US410510001002010,410510001002010,"Block 2010, Block Group 2, Census Tract 1, Multnomah County, Oregon",16
1000000US410510001002011,410510001002011,"Block 2011, Block Group 2, Census Tract 1, Multnomah County, Oregon",16
1000000US410510001002012,410510001002012,"Block 2012, Block Group 2, Census Tract 1, Multnomah County, Oregon",12
1000000US410510001002013,410510001002013,"Block 2013, Block Group 2, Census Tract 1, Multnomah County, Oregon",12
1000000US410510001002014,410510001002014,"Block 2014, Block Group 2, Census Tract 1, Multnomah County, Oregon",9
1000000US410510001002015,410510001002015,"Block 2015, Block Group 2, Census Tract 1, Multnomah County, Oregon",21
1000000US410510001002016,410510001002016,"Block 2016, Block Group 2, Census Tract 1, Multnomah County, Oregon",9
1000000US410510001002017,410510001002017,"Block 2017, Block Group 2, Census Tract 1, Multnomah County, Oregon",14
1000000US410510001002018,410510001002018,"Block 2018, Block Group 2, Census Tract 1, Multnomah County, Oregon",16
1000000US410510001002019,410510001002019,"Block 2019, Block Group 2, Census Tract 1, Multnomah County, Oregon",12
1000000US410510001002020,410510001002020,"Block 2020, Block Group 2, Census Tract 1, Multnomah County, Oregon",22
1000000US410510001002021,410510001002021,"Block 2021, Block Group 2, Census Tract 1, Multnomah County, Oregon",17
1000000US410510001002022,410510001002022,"Block 2022, Block Group 2, Census Tract 1, Multnomah County, Oregon",15
1000000US410510001002023,410510001002023,"Block 2023, Block Group 2, Census Tract 1, Multnomah County, Oregon",17
1000000US410510001002024,410510001002024,"Block 2024, Block Group 2, Census Tract 1, Multnomah County, Oregon",19
1000000US410510001002025,410510001002025,"Block 2025, Block Group 2, Census Tract 1, Multnomah County, Oregon",15
1000000US410510001002026,410510001002026,"Block 2026, Block Group 2, Census Tract 1, Multnomah County, Oregon",16
1000000US410510001002027,410510001002027,"Block 2027, Block Group 2, Census Tract 1, Multnomah County, Oregon",22
1000000US410510001002028,410510001002028,"Block 2028, Block Group 2, Census Tract 1, Multnomah County, Oregon",16
1000000US410510001003000,410510001003000,"Block 3000, Block Group 3, Census Tract 1, Multnomah County, Oregon",17
1000000US410510001003001,410510001003001,"Block 3001, Block Group 3, Census Tract 1, Multnomah County, Oregon",9
1000000US410510001003002,410510001003002,"Block 3002, Block Group 3, Census Tract 1, Multnomah County, Oregon",27
1000000US410510001003003,410510001003003,"Block 3003, Block Group 3, Census Tract 1, Multnomah County, Oregon",28
1000000US410510001003004,410510001003004,"Block 3004, Block Group 3, Census Tract 1, Multnomah County, Oregon",17
1000000US410510001003005,410510001003005,"Block 3005, Block Group 3, Census Tract 1, Multnomah County, Oregon",14
1000000US410510001003006,410510001003006,"Block 3006, Block Group 3, Census Tract 1, Multnomah County, Oregon",16
1000000US410510001003007,410510001003007,"Block 3007, Block Group 3, Census Tract 1, Multnomah County, Oregon",19
1000000US410510001003008,410510001003008,"Block 3008, Block Group 3, Census Tract 1, Multnomah County, Oregon",25
1000000US410510001003009,410510001003009,"Block 3009, Block Group 3, Census Tract 1, Multnomah County, Oregon",24
1000000US410510001003010,410510001003010,"Block 3010, Block Group 3, Census Tract 1, Multnomah County, Oregon",8
1000000US410510001003011,410510001003011,"Block 3011, Block Group 3, Census Tract 1, Multnomah County, Oregon",26
1000000US410510001003012,410510001003012,"Block 3012, Block Group 3, Census Tract 1, Multnomah County, Oregon",16
1000000US410510001003013,410510001003013,"Block 3013, Block Group 3, Census Tract 1, Multnomah County, Oregon",20
1000000US410510001003014,410510001003014,"Block 3014, Block Group 3, Census Tract 1, Multnomah County, Oregon",9
1000000US410510001003015,410510001003015,"Block 3015, Block Group 3, Census Tract 1, Multnomah County, Oregon",9
1000000US410510001003016,410510001003016,"Block 3016, Block Group 3, Census Tract 1, Multnomah County, Oregon",18
1000000US410510001003017,410510001003017,"Block 3017, Block Group 3, Census Tract 1, Multnomah County, Oregon",12
1000000US410510001004000,410510001004000,"Block 4000, Block Group 4, Census Tract 1, Multnomah County, Oregon",15
1000000US410510001004001,410510001004001,"Block 4001, Block Group 4, Census Tract 1, Multnomah County, Oregon",27
1000000US410510001004002,410510001004002,"Block 4002, Block Group 4, Census Tract 1, Multnomah County, Oregon",18
1000000US410510001004003,410510001004003,"Block 4003, Block Group 4, Census Tract 1, Multnomah County, Oregon",19
1000000US410510001004004,410510001004004,"Block 4004, Block Group 4, Census Tract 1, Multnomah County, Oregon",24
1000000US410510001004005,410510001004005,"Block 4005, Block Group 4, Census Tract 1, Multnomah County, Oregon",15
1000000US410510001004006,410510001004006,"Block 4006, Block Group 4, Census Tract 1, Multnomah County, Oregon",21
1000000US410510001004007,410510001004007,"Block 4007, Block Group 4, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001004008,410510001004008,"Block 4008, Block Group 4, Census Tract 1, Multnomah County, Oregon",35
1000000US410510001004009,410510001004009,"Block 4009, Block Group 4, Census Tract 1, Multnomah County, Oregon",26
1000000US410510001004010,410510001004010,"Block 4010, Block Group 4, Census Tract 1, Multnomah County, Oregon",20
1000000US410510001004011,410510001004011,"Block 4011, Block Group 4, Census Tract 1, Multnomah County, Oregon",22
1000000US410510001004012,410510001004012,"Block 4012, Block Group 4, Census Tract 1, Multnomah County, Oregon",96
1000000US410510001004013,410510001004013,"Block 4013, Block Group 4, Census Tract 1, Multnomah County, Oregon",16
1000000US410510001004014,410510001004014,"Block 4014, Block Group 4, Census Tract 1, Multnomah County, Oregon",17
1000000US410510001004015,410510001004015,"Block 4015, Block Group 4, Census Tract 1, Multnomah County, Oregon",19
1000000US410510001004016,410510001004016,"Block 4016, Block Group 4, Census Tract 1, Multnomah County, Oregon",22
1000000US410510001004017,410510001004017,"Block 4017, Block Group 4, Census Tract 1, Multnomah County, Oregon",31
1000000US410510001004018,410510001004018,"Block 4018, Block Group 4, Census Tract 1, Multnomah County, Oregon",19
1000000US410510001004019,410510001004019,"Block 4019, Block Group 4, Census Tract 1, Multnomah County, Oregon",34
1000000US410510001004020,410510001004020,"Block 4020, Block Group 4, Census Tract 1, Multnomah County, Oregon",13
1000000US410510001004021,410510001004021,"Block 4021, Block Group 4, Census Tract 1, Multnomah County, Oregon",6
1000000US410510001004022,410510001004022,"Block 4022, Block Group 4, Census Tract 1, Multnomah County, Oregon",10
1000000US410510001004023,410510001004023,"Block 4023, Block Group 4, Census Tract 1, Multnomah County, Oregon",11
1000000US410510001005000,410510001005000,"Block 5000, Block Group 5, Census Tract 1, Multnomah County, Oregon",18
1000000US410510001005001,410510001005001,"Block 5001, Block Group 5, Census Tract 1, Multnomah County, Oregon",26
1000000US410510001005002,410510001005002,"Block 5002, Block Group 5, Census Tract 1, Multnomah County, Oregon",19
1000000US410510001005003,410510001005003,"Block 5003, Block Group 5, Census Tract 1, Multnomah County, Oregon",18
1000000US410510001005004,410510001005004,"Block 5004, Block Group 5, Census Tract 1, Multnomah County, Oregon",28
1000000US410510001005005,410510001005005,"Block 5005, Block Group 5, Census Tract 1, Multnomah County, Oregon",21
1000000US410510001005006,410510001005006,"Block 5006, Block Group 5, Census Tract 1, Multnomah County, Oregon",23
1000000US410510001005007,410510001005007,"Block 5007, Block Group 5, Census Tract 1, Multnomah County, Oregon",24
1000000US410510001005008,410510001005008,"Block 5008, Block Group 5, Census Tract 1, Multnomah County, Oregon",19
1000000US410510001005009,410510001005009,"Block 5009, Block Group 5, Census Tract 1, Multnomah County, Oregon",24
1000000US410510001005010,410510001005010,"Block 5010, Block Group 5, Census Tract 1, Multnomah County, Oregon",33
1000000US410510001005011,410510001005011,"Block 5011, Block Group 5, Census Tract 1, Multnomah County, Oregon",32
1000000US410510001005012,410510001005012,"Block 5012, Block Group 5, Census Tract 1, Multnomah County, Oregon",28
1000000US410510001005013,410510001005013,"Block 5013, Block Group 5, Census Tract 1, Multnomah County, Oregon",28
1000000US410510001005014,410510001005014,"Block 5014, Block Group 5, Census Tract 1, Multnomah County, Oregon",10
1000000US410510001005015,410510001005015,"Block 5015, Block Group 5, Census Tract 1, Multnomah County, Oregon",7
1000000US410510001005016,410510001005016,"Block 5016, Block Group 5, Census Tract 1, Multnomah County, Oregon",70
1000000US410510001005017,410510001005017,"Block 5017, Block Group 5, Census Tract 1, Multnomah County, Oregon",11
1000000US410510001006000,410510001006000,"Block 6000, Block Group 6, Census Tract 1, Multnomah County, Oregon",14
1000000US410510001006001,410510001006001,"Block 6001, Block Group 6, Census Tract 1, Multnomah County, Oregon",8
1000000US410510001006002,410510001006002,"Block 6002, Block Group 6, Census Tract 1, Multnomah County, Oregon",19
1000000US410510001006003,410510001006003,"Block 6003, Block Group 6, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001006004,410510001006004,"Block 6004, Block Group 6, Census Tract 1, Multnomah County, Oregon",1
1000000US410510001006005,410510001006005,"Block 6005, Block Group 6, Census Tract 1, Multnomah County, Oregon",37
1000000US410510001006006,410510001006006,"Block 6006, Block Group 6, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001006007,410510001006007,"Block 6007, Block Group 6, Census Tract 1, Multnomah County, Oregon",2
1000000US410510001006008,410510001006008,"Block 6008, Block Group 6, Census Tract 1, Multnomah County, Oregon",3
1000000US410510001006009,410510001006009,"Block 6009, Block Group 6, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001006010,410510001006010,"Block 6010, Block Group 6, Census Tract 1, Multnomah County, Oregon",1
1000000US410510001006011,410510001006011,"Block 6011, Block Group 6, Census Tract 1, Multnomah County, Oregon",4
1000000US410510001006012,410510001006012,"Block 6012, Block Group 6, Census Tract 1, Multnomah County, Oregon",33
1000000US410510001006013,410510001006013,"Block 6013, Block Group 6, Census Tract 1, Multnomah County, Oregon",6
1000000US410510001006014,410510001006014,"Block 6014, Block Group 6, Census Tract 1, Multnomah County, Oregon",8
1000000US410510001006015,410510001006015,"Block 6015, Block Group 6, Census Tract 1, Multnomah County, Oregon",7
1000000US410510001006016,410510001006016,"Block 6016, Block Group 6, Census Tract 1, Multnomah County, Oregon",9
1000000US410510001006017,410510001006017,"Block 6017, Block Group 6, Census Tract 1, Multnomah County, Oregon",9
1000000US410510001006018,410510001006018,"Block 6018, Block Group 6, Census Tract 1, Multnomah County, Oregon",12
1000000US410510001006019,410510001006019,"Block 6019, Block Group 6, Census Tract 1, Multnomah County, Oregon",9
1000000US410510001006020,410510001006020,"Block 6020, Block Group 6, Census Tract 1, Multnomah County, Oregon",10
1000000US410510001006021,410510001006021,"Block 6021, Block Group 6, Census Tract 1, Multnomah County, Oregon",11
